,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
321,Connor Norby,26,1,Maj-NL,Miami,39,145,124,11,29,8,0,3,12,15,0,45,5,0,1,4,5,2,0.234,0.338,0.371,0.709,681393
322,Nasim Nu\xc3\xb1ez,25,0,Maj-NL,Washington,41,149,124,17,25,1,1,0,14,19,0,29,1,4,1,1,18,2,0.202,0.31,0.226,0.536,683083
323,Ryan O\'Hearn,32,0,Maj-NL,Pittsburgh,42,176,154,26,46,6,0,7,29,18,1,33,2,0,2,10,1,0,0.299,0.375,0.474,0.849,656811
324,Logan O\'Hoppe,26,19,Maj-AL,Los Angeles,26,93,78,9,16,1,0,1,8,11,0,23,3,0,1,2,0,0,0.205,0.323,0.256,0.579,681351
325,Tyler O\'Neill,31,1,Maj-AL,Baltimore,24,75,62,11,11,1,0,1,6,11,0,18,2,0,0,0,0,0,0.177,0.32,0.242,0.562,641933
326,Shohei Ohtani,31,2,Maj-NL,Los Angeles,39,185,150,27,36,7,0,7,17,28,6,44,4,0,2,3,5,0,0.24,0.37,0.427,0.796,660271
327,Kazuma Okamoto,30,1,Maj-AL,Toronto,42,177,155,22,37,4,0,10,27,21,0,50,0,0,1,4,0,0,0.239,0.328,0.458,0.786,672960
328,Jared Oliva,30,30,Maj-NL,San Francisco,7,7,7,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0.143,0.143,0.143,0.286,666931
329,Matt Olson,32,0,Maj-NL,Atlanta,44,194,170,36,50,15,0,14,37,22,2,47,0,0,2,2,1,0,0.294,0.371,0.629,1.001,621566
330,Joey Ortiz,27,0,Maj-NL,Milwaukee,34,102,90,14,18,1,0,1,11,8,0,21,0,2,2,1,4,2,0.2,0.26,0.244,0.504,687401
331,Alejandro Osuna,23,1,Maj-AL,Texas,18,48,37,5,10,1,0,0,6,7,0,10,4,0,0,0,1,2,0.27,0.438,0.297,0.735,696030
332,James Outman,29,0,Maj-AL,Minnesota,32,39,36,8,6,3,0,0,3,3,0,13,0,0,0,0,4,1,0.167,0.231,0.25,0.481,681546
333,Marcell Ozuna,35,0,Maj-NL,Pittsburgh,37,157,140,13,26,4,0,4,14,15,1,40,2,0,0,3,0,0,0.186,0.274,0.3,0.574,542303
334,Andy Pages,25,0,Maj-NL,Los Angeles,44,176,160,23,49,8,0,9,35,12,0,35,2,0,2,3,6,1,0.306,0.358,0.525,0.883,681624
335,Pedro Pag\xc3\xa9s,27,1,Maj-NL,St. Louis,28,100,91,9,19,3,0,3,8,4,0,25,2,2,1,3,2,0,0.209,0.255,0.341,0.596,686780
336,Richie Palacios,29,1,Maj-AL,Tampa Bay,28,76,62,9,14,1,0,1,9,10,0,17,3,0,1,0,4,4,0.226,0.355,0.29,0.646,680700
337,Isaac Paredes,27,0,Maj-AL,Houston,40,165,145,16,37,7,0,3,17,15,0,29,5,0,0,5,0,0,0.255,0.345,0.366,0.711,670623
339,Vinnie Pasquantino,28,0,Maj-AL,Kansas City,42,180,157,16,32,4,2,5,21,18,0,35,1,0,4,3,1,0,0.204,0.283,0.35,0.634,686469
340,Graham Pauley,25,9,Maj-NL,Miami,28,81,75,8,13,6,0,1,9,5,0,19,0,1,0,3,1,1,0.173,0.225,0.293,0.518,688363
341,Joc Pederson,34,1,Maj-AL,Texas,39,118,98,13,21,3,0,3,9,16,0,28,1,0,3,4,0,0,0.214,0.322,0.337,0.659,592626
342,Jeremy Pe\xc3\xb1a,28,33,Maj-AL,Houston,10,46,43,5,11,4,0,0,0,3,0,6,0,0,0,0,1,0,0.256,0.304,0.349,0.653,665161
343,Oswald Peraza,26,1,Maj-AL,Los Angeles,40,123,111,13,31,5,1,5,11,8,0,29,3,1,0,3,5,1,0.279,0.344,0.477,0.822,672724
344,Geraldo Perdomo,26,1,Maj-NL,Arizona,39,162,133,16,29,6,3,2,12,25,0,22,0,2,2,5,6,3,0.218,0.338,0.353,0.691,672695
345,Jhonny Pereda,30,8,Maj-AL,Seattle,2,5,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.4,0.8,640902
346,Everson Pereira,25,16,Maj-AL,Chicago,18,71,64,7,16,4,0,3,7,4,0,21,2,0,1,2,1,0,0.25,0.31,0.453,0.763,677592
347,Salvador Perez,36,0,Maj-AL,Kansas City,42,176,165,15,33,5,0,6,18,6,1,39,3,0,2,7,0,0,0.2,0.239,0.339,0.578,521692
348,Wenceel P\xc3\xa9rez,26,0,Maj-AL,Detroit,29,95,89,10,15,2,0,2,8,6,0,13,0,0,0,0,3,1,0.169,0.221,0.258,0.479,672761
349,Blake Perkins,29,1,Maj-NL,Milwaukee,22,56,49,6,6,3,0,0,7,5,0,13,1,1,0,1,1,0,0.122,0.218,0.184,0.402,663368
350,Tristan Peters,26,0,Maj-AL,Chicago,40,107,96,10,26,4,1,0,7,7,0,26,1,3,0,0,4,0,0.271,0.327,0.333,0.66,671976
351,Tommy Pham,38,18,Maj-NL,New York,9,14,13,1,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0.0,0.071,0.0,0.071,502054
352,Yohendrick Pinango,24,1,Maj-AL,Toronto,13,39,36,2,13,2,0,0,6,3,0,4,0,0,0,0,0,0,0.361,0.41,0.417,0.827,682818
353,Jorge Polanco,32,30,Maj-NL,New York,14,61,56,3,10,3,0,1,2,5,0,11,0,0,0,0,0,0,0.179,0.246,0.286,0.532,593871
354,Logan Porter,30,5,Maj-NL,San Francisco,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,682515
355,Yohel Pozo,29,0,Maj-NL,St. Louis,12,26,26,0,6,1,0,0,4,0,0,2,0,0,0,3,0,0,0.231,0.231,0.269,0.5,650968
356,C\xc3\xa9sar Prieto,27,6,Maj-NL,St. Louis,2,5,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,693409
357,Edgar Quero,23,0,Maj-AL,Chicago,31,103,86,3,13,1,0,0,7,9,0,26,3,2,3,4,1,0,0.151,0.248,0.163,0.41,700337
358,Jeferson Quero,23,46,Maj-NL,Milwaukee,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.5,0.0,0.5,691620
359,Ceddanne Rafaela,25,0,Maj-AL,Boston,41,152,138,18,38,4,2,4,19,8,0,35,6,0,0,6,2,3,0.275,0.342,0.42,0.762,678882
360,Cal Raleigh,29,1,Maj-AL,Seattle,41,181,161,16,26,4,0,7,18,18,0,57,0,0,2,4,2,1,0.161,0.243,0.317,0.56,663728
